Time,Angle,Distance,Robot_X,Robot_Y,Robot_Heading_deg,Centroid_X,Centroid_Y,ClusterSize,Velocity_cmd
1749039066.1806650162,-5.04,0.449,0.000,0.000,0.00,0.447,-0.039,90,0.400
1749039066.2810530663,-4.86,0.453,0.000,0.000,0.00,0.451,-0.038,88,0.000
1749039066.3814010620,-4.86,0.455,0.001,0.000,0.40,0.455,-0.035,90,0.214
1749039066.4817459583,-4.86,0.457,0.010,0.000,1.60,0.467,-0.026,91,0.156
1749039066.5820350647,-4.86,0.459,0.020,0.001,2.35,0.478,-0.019,92,0.195
1749039066.6822710037,-4.86,0.460,0.034,0.001,2.98,0.494,-0.014,94,0.184
1749039066.7825911045,-5.58,0.458,0.054,0.002,3.27,0.512,-0.016,97,0.174
1749039066.8829081059,-7.56,0.453,0.076,0.004,3.32,0.528,-0.029,102,0.160
1749039066.9833159447,-8.82,0.445,0.098,0.005,2.98,0.541,-0.040,106,0.138
1749039067.0836260319,-10.26,0.433,0.119,0.006,2.46,0.548,-0.053,111,0.114
1749039067.1839630604,-10.80,0.415,0.137,0.007,2.06,0.547,-0.056,115,0.070
1749039067.2842860222,-11.34,0.396,0.152,0.007,1.60,0.543,-0.060,118,0.065
1749039067.3846170902,-11.34,0.377,0.165,0.007,1.26,0.537,-0.059,121,0.045
1749039067.4849369526,-11.16,0.359,0.174,0.008,1.09,0.527,-0.055,122,0.031
1749039067.5851919651,-10.80,0.345,0.180,0.008,0.92,0.520,-0.051,123,0.052
1749039067.6854500771,-10.62,0.334,0.183,0.008,0.92,0.512,-0.048,123,0.035
1749039067.7857270241,-10.44,0.325,0.184,0.008,0.92,0.505,-0.046,123,0.046
1749039067.8860459328,-10.26,0.319,0.184,0.008,0.97,0.499,-0.044,123,0.049
1749039067.9863829613,-10.08,0.317,0.186,0.008,0.97,0.499,-0.042,122,0.057
1749039068.0866711140,-10.08,0.317,0.189,0.008,0.80,0.502,-0.043,124,0.070
1749039068.1869709492,-10.08,0.318,0.195,0.008,0.46,0.509,-0.045,125,0.068
1749039068.2871859074,-10.08,0.320,0.203,0.008,0.00,0.518,-0.048,127,0.070
1749039068.3875129223,-10.26,0.321,0.211,0.008,-0.46,0.527,-0.052,128,0.071
1749039068.4878559113,-9.54,0.318,0.217,0.008,-0.80,0.529,-0.049,130,0.036
1749039068.5880789757,-9.36,0.313,0.223,0.008,-1.20,0.531,-0.049,131,0.042
1749039068.6883540154,-8.64,0.308,0.230,0.007,-1.66,0.533,-0.048,133,0.027
1749039068.7886860371,-8.10,0.302,0.236,0.007,-2.06,0.533,-0.046,134,0.029
1749039068.8890910149,-7.74,0.299,0.241,0.007,-2.23,0.536,-0.045,136,0.039
1749039068.9894709587,-7.20,0.295,0.244,0.007,-2.52,0.535,-0.043,136,0.023
1749039069.0897688866,-6.48,0.290,0.248,0.007,-2.58,0.535,-0.039,135,0.016
1749039069.1899890900,-5.94,0.286,0.251,0.007,-2.69,0.534,-0.036,131,0.022
1749039069.2902979851,-5.58,0.283,0.253,0.007,-2.58,0.534,-0.033,126,0.022
1749039069.3906691074,-5.22,0.282,0.254,0.006,-2.29,0.534,-0.031,120,0.028
1749039069.4910368919,-5.04,0.286,0.254,0.006,-2.23,0.537,-0.030,113,0.056
1749039069.5912480354,-4.68,0.294,0.255,0.006,-2.12,0.547,-0.029,107,0.082
1749039069.6916179657,-4.86,0.310,0.257,0.006,-1.78,0.565,-0.030,102,0.126
1749039069.7920229435,-5.22,0.327,0.262,0.006,-1.78,0.587,-0.034,98,0.137
1749039069.8922889233,-5.04,0.351,0.272,0.006,-1.66,0.621,-0.035,96,0.195
1749039069.9926700592,-5.04,0.374,0.287,0.005,-1.60,0.658,-0.038,94,0.186
1749039070.0929789543,-5.58,0.395,0.304,0.005,-1.49,0.696,-0.044,93,0.209
1749039070.1933400631,-5.58,0.413,0.322,0.005,-1.55,0.732,-0.046,91,0.204
1749039070.2936739922,-5.58,0.424,0.343,0.004,-1.60,0.764,-0.049,91,0.183
1749039070.3938860893,-5.94,0.431,0.364,0.003,-1.89,0.791,-0.056,91,0.177
1749039070.4942018986,-6.12,0.435,0.386,0.003,-2.06,0.817,-0.059,90,0.179
1749039070.5945699215,-6.12,0.439,0.409,0.002,-2.41,0.843,-0.063,89,0.181
1749039070.6948471069,-6.48,0.441,0.428,0.001,-2.69,0.863,-0.069,88,0.175
1749039070.7951378822,-6.48,0.441,0.445,0.000,-3.04,0.880,-0.073,87,0.169
1749039070.8954489231,-6.30,0.445,0.462,-0.001,-3.50,0.900,-0.077,85,0.197
1749039070.9957919121,-6.12,0.451,0.480,-0.002,-3.90,0.924,-0.080,83,0.205
1749039071.0961599350,-5.94,0.461,0.498,-0.003,-4.18,0.952,-0.084,81,0.238
1749039071.1964979172,-5.40,0.469,0.517,-0.005,-4.53,0.979,-0.086,79,0.219
1749039071.2967689037,-5.04,0.479,0.537,-0.007,-4.98,1.008,-0.090,79,0.251
1749039071.3970999718,-4.68,0.490,0.561,-0.009,-5.50,1.043,-0.096,79,0.259
1749039071.4973959923,-4.32,0.500,0.585,-0.011,-5.96,1.077,-0.100,78,0.261
1749039071.5976409912,-3.96,0.510,0.612,-0.014,-6.47,1.113,-0.106,77,0.268
1749039071.6978909969,-3.60,0.515,0.639,-0.017,-7.05,1.145,-0.112,77,0.250
1749039071.7982470989,-2.88,0.519,0.665,-0.021,-7.62,1.175,-0.116,76,0.255
1749039071.8986248970,-2.34,0.523,0.693,-0.024,-8.19,1.207,-0.120,76,0.260
1749039071.9989368916,-1.80,0.526,0.720,-0.028,-8.77,1.237,-0.124,76,0.257
1749039072.0993239880,-1.08,0.529,0.746,-0.033,-9.28,1.267,-0.128,76,0.268
1749039072.1996719837,-0.18,0.534,0.772,-0.037,-9.74,1.298,-0.129,74,0.271
1749039072.2999339104,0.54,0.534,0.798,-0.042,-10.31,1.325,-0.133,74,0.252
1749039072.4002408981,1.26,0.537,0.825,-0.046,-10.66,1.355,-0.134,74,0.275
1749039072.5006599426,1.98,0.544,0.851,-0.052,-11.12,1.388,-0.138,73,0.297
1749039072.6010138988,2.70,0.548,0.877,-0.057,-11.57,1.418,-0.141,73,0.277
1749039072.7013919353,3.42,0.551,0.905,-0.063,-11.69,1.450,-0.142,74,0.284
1749039072.8022909164,4.14,0.553,0.934,-0.069,-11.69,1.482,-0.142,73,0.280
1749039072.9026250839,5.04,0.558,0.964,-0.075,-11.75,1.518,-0.140,73,0.302
1749039073.0029940605,5.76,0.563,0.993,-0.081,-11.80,1.553,-0.140,73,0.301
1749039073.1033029556,5.94,0.564,1.022,-0.087,-11.63,1.583,-0.143,72,0.280
1749039073.2035830021,6.12,0.565,1.052,-0.093,-11.34,1.615,-0.144,73,0.289
1749039073.3039069176,6.48,0.568,1.082,-0.099,-11.00,1.648,-0.144,73,0.302
1749039073.4042289257,6.48,0.566,1.111,-0.104,-10.54,1.676,-0.144,72,0.268
1749039073.5045740604,6.66,0.567,1.141,-0.110,-10.03,1.707,-0.143,72,0.296
1749039073.6048901081,6.48,0.570,1.170,-0.115,-9.51,1.739,-0.145,72,0.306
1749039073.7052049637,6.12,0.572,1.199,-0.120,-9.11,1.771,-0.150,72,0.297
1749039073.8055369854,5.58,0.573,1.229,-0.124,-8.37,1.802,-0.152,73,0.294
1749039073.9058880806,5.22,0.577,1.259,-0.128,-7.79,1.835,-0.154,72,0.315
1749039074.0061841011,4.50,0.574,1.290,-0.133,-7.22,1.863,-0.160,74,0.265
1749039074.1064519882,3.78,0.574,1.321,-0.136,-6.47,1.894,-0.163,73,0.305
1749039074.2068181038,2.88,0.575,1.352,-0.140,-5.96,1.927,-0.171,74,0.297
1749039074.3071279526,2.34,0.571,1.381,-0.142,-5.39,1.951,-0.172,74,0.261
1749039074.4074320793,1.26,0.564,1.410,-0.145,-4.87,1.973,-0.181,73,0.259
1749039074.5077619553,0.72,0.560,1.440,-0.147,-4.35,1.999,-0.182,74,0.267
1749039074.6081109047,-0.18,0.561,1.468,-0.150,-4.01,2.027,-0.191,74,0.298
1749039074.7085349560,-0.90,0.560,1.494,-0.151,-3.61,2.052,-0.195,74,0.269
1749039074.8088090420,-1.80,0.560,1.521,-0.153,-3.09,2.079,-0.201,74,0.289
1749039074.9090659618,-2.34,0.558,1.549,-0.154,-2.81,2.105,-0.204,74,0.263
1749039075.0093491077,-3.06,0.557,1.577,-0.156,-2.75,2.131,-0.212,74,0.279
1749039075.1096129417,-3.42,0.561,1.607,-0.157,-2.58,2.165,-0.216,74,0.305
1749039075.2099099159,-4.14,0.556,1.636,-0.158,-2.46,2.188,-0.222,74,0.237
1749039075.3102509975,-4.50,0.557,1.664,-0.160,-2.52,2.217,-0.228,74,0.303
1749039075.4106819630,-4.50,0.552,1.693,-0.161,-2.64,2.241,-0.230,75,0.232
1749039075.5110840797,-4.50,0.550,1.721,-0.162,-2.75,2.267,-0.231,74,0.279
1749039075.6114180088,-4.50,0.543,1.748,-0.163,-2.86,2.287,-0.233,76,0.224
1749039075.7123210430,-4.14,0.544,1.775,-0.165,-3.15,2.315,-0.234,76,0.294
1749039075.8125970364,-3.60,0.536,1.802,-0.166,-3.55,2.334,-0.233,78,0.201
1749039075.9128758907,-3.06,0.530,1.828,-0.168,-3.78,2.354,-0.231,77,0.242
1749039076.0132329464,-1.98,0.531,1.854,-0.170,-4.18,2.382,-0.227,79,0.274
1749039076.1136291027,-0.90,0.529,1.879,-0.172,-4.58,2.405,-0.223,80,0.230
1749039076.2139921188,0.54,0.530,1.903,-0.174,-4.93,2.432,-0.215,74,0.275
1749039076.3142569065,1.80,0.524,1.929,-0.176,-5.27,2.452,-0.208,73,0.202
1749039076.4145410061,3.24,0.530,1.955,-0.179,-5.61,2.484,-0.201,71,0.307
1749039076.5148849487,5.58,0.534,1.981,-0.181,-5.90,2.515,-0.184,73,0.262
1749039076.6152029037,5.94,0.519,2.006,-0.184,-6.13,2.525,-0.186,72,0.146
1749039076.7155039310,7.92,0.520,2.034,-0.187,-6.36,2.554,-0.173,72,0.296
1749039076.8159000874,10.08,0.516,2.061,-0.190,-6.53,2.576,-0.158,72,0.198
1749039076.9162058830,12.24,0.517,2.084,-0.193,-6.65,2.599,-0.143,72,0.270
1749039077.0165970325,14.22,0.516,2.107,-0.195,-6.47,2.618,-0.125,71,0.223
1749039077.1168389320,16.38,0.515,2.130,-0.198,-6.19,2.637,-0.107,73,0.242
1749039077.2171649933,18.90,0.511,2.155,-0.200,-5.79,2.652,-0.084,71,0.210
1749039077.3175179958,21.06,0.512,2.179,-0.203,-5.33,2.672,-0.064,71,0.260
1749039077.4178800583,22.68,0.513,2.203,-0.205,-4.70,2.691,-0.047,67,0.234
1749039077.5182349682,24.84,0.515,2.228,-0.207,-3.90,2.709,-0.023,72,0.251
1749039077.6185948849,26.64,0.515,2.253,-0.208,-2.75,2.724,0.001,72,0.237
1749039077.7189888954,28.44,0.516,2.277,-0.209,-1.60,2.737,0.024,73,0.243
1749039077.8193330765,29.52,0.516,2.302,-0.210,-0.06,2.752,0.044,72,0.244
1749039077.9196569920,31.86,0.515,2.328,-0.209,1.66,2.757,0.075,70,0.227
1749039078.0200369358,32.94,0.513,2.353,-0.208,3.32,2.767,0.095,72,0.234
1749039078.1204030514,33.84,0.515,2.377,-0.206,5.10,2.777,0.117,72,0.251
1749039078.2208108902,34.74,0.513,2.402,-0.204,6.88,2.786,0.137,74,0.226
1749039078.3211419582,35.10,0.515,2.426,-0.200,8.88,2.797,0.158,72,0.257
1749039078.4215149879,35.82,0.516,2.450,-0.196,10.83,2.804,0.179,73,0.234
1749039078.5219879150,36.18,0.516,2.475,-0.191,12.83,2.813,0.198,75,0.243
1749039078.6222910881,36.54,0.518,2.499,-0.185,15.13,2.820,0.221,77,0.256
1749039078.7225608826,36.54,0.519,2.524,-0.178,17.30,2.830,0.241,76,0.240
1749039078.8229970932,36.72,0.522,2.547,-0.170,19.54,2.837,0.264,76,0.268
1749039078.9233160019,36.72,0.523,2.572,-0.161,21.89,2.844,0.285,76,0.237
1749039079.0236260891,36.72,0.532,2.595,-0.151,24.24,2.853,0.314,76,0.313
1749039079.1239619255,36.18,0.527,2.618,-0.140,26.53,2.859,0.328,77,0.191
1749039079.2242810726,35.46,0.529,2.642,-0.127,28.93,2.871,0.350,76,0.291
1749039079.3247289658,34.74,0.531,2.666,-0.113,31.51,2.880,0.373,78,0.247
1749039079.4250659943,34.02,0.532,2.688,-0.100,33.75,2.889,0.392,76,0.264
1749039079.5253999233,33.12,0.532,2.709,-0.085,36.04,2.898,0.412,77,0.253
1749039079.6256659031,31.86,0.531,2.730,-0.069,38.45,2.909,0.431,76,0.247
1749039079.7259469032,30.78,0.532,2.750,-0.052,40.62,2.920,0.452,76,0.266
1749039079.8262760639,29.70,0.536,2.769,-0.035,42.86,2.930,0.476,76,0.276
1749039079.9266269207,28.44,0.539,2.789,-0.016,45.03,2.942,0.501,76,0.271
1749039080.0269029140,27.18,0.545,2.807,0.003,47.15,2.954,0.527,76,0.294
1749039080.1272819042,25.74,0.545,2.825,0.023,49.22,2.966,0.549,76,0.252
1749039080.2276151180,24.30,0.543,2.843,0.045,51.39,2.977,0.571,77,0.259
1749039080.3279609680,22.86,0.545,2.861,0.068,53.51,2.989,0.598,77,0.284
1749039080.4282040596,21.42,0.548,2.877,0.090,55.12,3.004,0.623,77,0.275
1749039080.5285360813,19.62,0.545,2.892,0.113,56.84,3.020,0.643,76,0.246
1749039080.6289160252,18.00,0.545,2.907,0.136,58.50,3.034,0.666,75,0.276
1749039080.7292580605,16.20,0.544,2.921,0.160,59.82,3.052,0.688,75,0.255
1749039080.8296310902,14.76,0.545,2.934,0.183,61.13,3.067,0.711,76,0.277
1749039080.9300069809,13.14,0.548,2.947,0.208,62.28,3.085,0.739,74,0.287
1749039081.0303199291,11.88,0.553,2.960,0.231,63.37,3.101,0.766,74,0.294
1749039081.1306939125,10.80,0.554,2.971,0.256,64.57,3.111,0.792,75,0.270
1749039081.2309880257,9.54,0.557,2.984,0.282,65.72,3.126,0.820,74,0.292
1749039081.3313450813,8.46,0.559,2.996,0.310,66.92,3.137,0.851,74,0.284
1749039081.4318699837,7.38,0.564,3.007,0.336,67.90,3.150,0.882,74,0.314
1749039081.5321829319,6.12,0.568,3.018,0.364,68.87,3.165,0.913,75,0.296
1749039081.6324501038,4.86,0.564,3.028,0.392,69.50,3.180,0.935,76,0.251
1749039081.7327539921,3.42,0.566,3.039,0.420,70.24,3.198,0.963,75,0.312
1749039081.8329770565,2.34,0.567,3.049,0.449,70.87,3.213,0.992,74,0.282
1749039081.9332909584,1.08,0.565,3.059,0.478,71.45,3.229,1.017,75,0.276
1749039082.0336461067,0.54,0.568,3.068,0.505,71.85,3.240,1.046,74,0.308
1749039082.1340129375,0.00,0.564,3.077,0.532,72.36,3.248,1.070,73,0.253
1749039082.2343480587,-1.26,0.562,3.085,0.560,72.71,3.264,1.093,73,0.284
1749039082.3346610069,-1.44,0.563,3.094,0.588,72.99,3.272,1.122,72,0.289
1749039082.4350030422,-2.34,0.567,3.102,0.615,73.11,3.289,1.150,73,0.307
1749039082.5354080200,-2.88,0.569,3.111,0.643,73.28,3.302,1.179,72,0.293
1749039082.6357638836,-3.60,0.571,3.119,0.672,73.45,3.316,1.208,73,0.297
1749039082.7361340523,-3.78,0.572,3.128,0.701,73.51,3.326,1.238,72,0.294
1749039082.8365170956,-3.96,0.572,3.137,0.730,73.51,3.337,1.266,72,0.287
1749039082.9367759228,-4.14,0.573,3.145,0.760,73.51,3.347,1.296,71,0.300
1749039083.0371038914,-4.32,0.575,3.154,0.789,73.34,3.360,1.326,71,0.305
1749039083.1374289989,-4.50,0.576,3.162,0.817,73.05,3.373,1.353,71,0.292
1749039083.2378048897,-4.50,0.576,3.171,0.846,72.82,3.384,1.381,72,0.294
1749039083.3381729126,-4.32,0.575,3.181,0.876,72.54,3.394,1.410,72,0.290
1749039083.4384698868,-3.96,0.577,3.190,0.905,72.19,3.404,1.441,72,0.310
1749039083.5388100147,-3.24,0.579,3.199,0.934,71.79,3.411,1.473,72,0.302
1749039083.6391129494,-2.70,0.575,3.209,0.963,71.45,3.417,1.499,71,0.267
1749039083.7394809723,-1.98,0.578,3.219,0.992,70.99,3.426,1.532,73,0.329
1749039083.8398559093,-0.90,0.575,3.229,1.021,70.53,3.429,1.560,74,0.257
1749039083.9401791096,-0.18,0.572,3.239,1.050,70.19,3.435,1.588,73,0.295
1749039084.0405681133,0.72,0.574,3.250,1.079,69.73,3.442,1.620,74,0.302
1749039084.1408579350,1.44,0.571,3.260,1.106,69.33,3.448,1.645,73,0.271
1749039084.2411770821,2.70,0.565,3.271,1.134,68.98,3.449,1.670,72,0.258
1749039084.3415000439,3.96,0.564,3.281,1.162,68.64,3.450,1.700,73,0.290
1749039084.4418530464,5.58,0.563,3.292,1.188,68.24,3.449,1.729,74,0.281
1749039084.5421969891,6.84,0.565,3.302,1.213,68.07,3.449,1.758,72,0.294
1749039084.6424829960,8.10,0.567,3.312,1.240,67.95,3.449,1.790,72,0.296
1749039084.7427930832,9.36,0.566,3.324,1.267,67.95,3.448,1.819,72,0.277
1749039084.8431398869,10.98,0.569,3.335,1.295,67.95,3.444,1.853,72,0.307
1749039084.9434249401,12.06,0.575,3.347,1.324,68.07,3.446,1.890,72,0.323
1749039085.0437591076,13.14,0.577,3.358,1.352,68.35,3.443,1.923,72,0.295
1749039085.1441841125,14.22,0.581,3.369,1.380,68.70,3.441,1.956,72,0.318
1749039085.2445569038,15.30,0.581,3.381,1.411,69.27,3.436,1.989,73,0.289
1749039085.3449280262,16.02,0.580,3.392,1.441,70.07,3.432,2.019,72,0.294
1749039085.4452478886,16.74,0.581,3.403,1.471,70.82,3.428,2.051,72,0.308
1749039085.5455410480,17.46,0.585,3.413,1.501,71.85,3.420,2.085,72,0.320
1749039085.6458690166,17.28,0.582,3.422,1.530,72.99,3.419,2.112,72,0.278
1749039085.7461988926,17.46,0.582,3.431,1.560,74.31,3.413,2.141,72,0.307
1749039085.8465669155,17.10,0.581,3.439,1.590,75.63,3.411,2.171,72,0.294
1749039085.9468998909,16.74,0.585,3.446,1.620,77.01,3.408,2.204,72,0.329
1749039086.0471940041,15.66,0.588,3.453,1.650,78.44,3.411,2.236,72,0.311
1749039086.1474928856,14.58,0.589,3.458,1.680,79.81,3.413,2.267,70,0.307
1749039086.2477629185,13.50,0.586,3.464,1.712,81.47,3.413,2.296,71,0.285
1749039086.3480958939,12.06,0.586,3.468,1.744,82.79,3.418,2.328,72,0.310
1749039086.4484899044,10.26,0.590,3.472,1.776,84.22,3.426,2.364,72,0.331
1749039086.5487871170,8.46,0.590,3.474,1.806,85.66,3.432,2.395,72,0.300
1749039086.6490559578,6.48,0.586,3.476,1.837,86.97,3.441,2.422,72,0.281
1749039086.7495160103,4.50,0.583,3.478,1.868,88.35,3.449,2.450,72,0.292
1749039086.8498430252,2.34,0.581,3.478,1.900,89.55,3.459,2.480,72,0.292
1749039086.9502260685,0.18,0.580,3.478,1.930,90.53,3.471,2.510,72,0.299
1749039087.0506160259,-1.98,0.579,3.478,1.959,91.39,3.484,2.538,72,0.296
1749039087.1509809494,-4.50,0.581,3.477,1.989,92.19,3.500,2.569,72,0.310
1749039087.2513360977,-6.66,0.580,3.475,2.019,92.82,3.514,2.597,73,0.287
1749039087.3521549702,-8.82,0.580,3.474,2.049,93.11,3.532,2.626,72,0.306
1749039087.4524719715,-10.62,0.579,3.472,2.080,93.39,3.545,2.654,72,0.287
1749039087.5527501106,-12.78,0.579,3.470,2.111,93.16,3.567,2.682,73,0.303
1749039087.6531059742,-14.40,0.577,3.469,2.141,92.76,3.585,2.706,73,0.281
1749039087.7534699440,-16.02,0.576,3.467,2.172,92.19,3.605,2.731,73,0.296
1749039087.8538599014,-17.46,0.571,3.466,2.203,91.67,3.621,2.753,74,0.266
1749039087.9542310238,-18.36,0.568,3.466,2.233,90.93,3.636,2.775,73,0.282
1749039088.0547308922,-19.08,0.567,3.465,2.263,90.07,3.650,2.799,74,0.283
1749039088.1550559998,-19.80,0.564,3.466,2.291,89.15,3.665,2.819,73,0.274
1749039088.2553529739,-20.34,0.562,3.466,2.320,87.89,3.681,2.839,74,0.273
1749039088.3556790352,-20.88,0.560,3.468,2.347,86.52,3.699,2.857,75,0.273
1749039088.4560050964,-21.42,0.555,3.470,2.374,85.14,3.716,2.872,75,0.254
1749039088.5563519001,-21.60,0.551,3.472,2.402,83.71,3.730,2.889,75,0.257
1749039088.6567280293,-21.42,0.548,3.476,2.429,82.33,3.743,2.908,76,0.266
1749039088.7569990158,-20.88,0.542,3.480,2.456,80.84,3.752,2.926,76,0.235
1749039088.8573648930,-20.88,0.537,3.484,2.481,79.41,3.764,2.939,77,0.242
1749039088.9576840401,-20.52,0.531,3.489,2.507,77.92,3.775,2.954,79,0.231
1749039089.0579979420,-20.34,0.528,3.495,2.533,76.49,3.789,2.972,79,0.249
1749039089.1583290100,-19.98,0.525,3.501,2.556,75.11,3.801,2.987,81,0.237
1749039089.2586998940,-19.80,0.521,3.507,2.579,73.68,3.814,3.000,84,0.228
1749039089.3589949608,-19.80,0.516,3.514,2.602,72.31,3.828,3.012,84,0.224
1749039089.4592659473,-19.80,0.513,3.522,2.626,70.93,3.844,3.025,78,0.229
1749039089.5596990585,-19.80,0.507,3.530,2.649,69.61,3.857,3.037,76,0.207
1749039089.6600298882,-19.98,0.505,3.539,2.671,68.24,3.875,3.048,77,0.230
1749039089.7603409290,-19.98,0.501,3.547,2.692,66.92,3.889,3.058,79,0.209
1749039089.8606350422,-18.90,0.480,3.556,2.711,65.78,3.884,3.061,79,0.091
1749039089.9610009193,-18.54,0.474,3.565,2.731,64.57,3.894,3.072,80,0.229
1749039090.0613389015,-18.72,0.469,3.575,2.750,63.43,3.909,3.080,75,0.166
1749039090.1617341042,-19.08,0.464,3.582,2.765,62.51,3.919,3.084,83,0.183
1749039090.2622170448,-19.08,0.460,3.590,2.780,61.59,3.929,3.091,81,0.173
1749039090.3625850677,-19.26,0.447,3.598,2.795,60.73,3.933,3.091,83,0.113
1749039090.4630858898,-18.36,0.443,3.606,2.809,59.82,3.938,3.102,83,0.188
1749039090.5634150505,-19.80,0.440,3.615,2.824,58.84,3.957,3.101,77,0.152
1749039090.6637279987,-19.80,0.436,3.624,2.837,58.04,3.966,3.107,83,0.156
1749039090.7640259266,-20.88,0.437,3.632,2.851,57.30,3.983,3.110,82,0.184
1749039090.8643729687,-22.32,0.441,3.641,2.865,56.44,4.006,3.112,83,0.196
1749039090.9647428989,-21.96,0.436,3.650,2.879,55.69,4.012,3.121,81,0.125
1749039091.0651190281,-23.76,0.437,3.660,2.893,54.83,4.034,3.119,80,0.195
1749039091.1654911041,-24.30,0.434,3.671,2.908,53.92,4.048,3.122,68,0.138
1749039091.2658059597,-25.92,0.441,3.681,2.922,53.11,4.073,3.123,65,0.228
1749039091.3661661148,-27.36,0.451,3.692,2.935,52.31,4.100,3.125,62,0.214
1749039091.4664819241,-29.70,0.457,3.702,2.949,51.57,4.127,3.119,61,0.210
1749039091.5667819977,-29.70,0.452,3.715,2.965,50.48,4.138,3.125,66,0.134
1749039091.6671159267,-32.04,0.458,3.729,2.981,49.33,4.167,3.117,80,0.246
1749039091.7674601078,-34.02,0.465,3.743,2.997,48.19,4.194,3.111,80,0.205
1749039091.8679420948,-36.72,0.473,3.756,3.012,47.10,4.222,3.097,63,0.245
1749039091.9683310986,-40.50,0.476,3.771,3.027,46.01,4.244,3.073,62,0.194
1749039092.0686728954,-45.90,0.513,3.786,3.043,44.69,4.299,3.032,60,0.400
1749039092.1690390110,-48.78,0.525,3.803,3.059,43.09,4.325,3.007,53,0.201
1749039092.2693889141,-48.96,0.488,3.820,3.075,41.37,4.304,3.010,58,0.000
1749039092.3697729111,-51.66,0.487,3.843,3.094,39.13,4.318,2.988,61,0.304
1749039092.4701669216,-54.54,0.486,3.864,3.110,36.44,4.326,2.959,58,0.180
1749039092.5705330372,-55.80,0.496,3.879,3.121,34.32,4.341,2.939,77,0.299
1749039092.6709148884,-59.58,0.489,3.893,3.130,32.03,4.326,2.904,78,0.138
1749039092.7712969780,-62.28,0.492,3.910,3.140,29.28,4.323,2.872,52,0.275
1749039092.8716299534,-63.90,0.480,3.931,3.151,26.18,4.311,2.857,59,0.110
1749039092.9719650745,-69.12,0.533,3.951,3.160,23.09,4.321,2.776,56,0.400
1749039093.0723500252,-71.10,0.539,3.973,3.169,20.05,4.312,2.750,70,0.101
1749039093.1728150845,-67.50,0.493,3.994,3.176,17.36,4.310,2.798,70,0.000
1749039093.2732000351,-69.84,0.488,4.019,3.183,14.32,4.296,2.780,70,0.296
1749039093.3736801147,-70.02,0.500,4.039,3.188,11.69,4.302,2.762,69,0.275
1749039093.4740068913,-73.62,0.525,4.051,3.190,10.08,4.285,2.720,67,0.379
1749039093.5744440556,-75.06,0.530,4.066,3.193,8.19,4.274,2.706,65,0.218
1749039093.6747798920,-76.14,0.536,4.089,3.195,5.44,4.266,2.689,63,0.302
1749039093.7752139568,-77.04,0.550,4.119,3.197,1.89,4.260,2.666,62,0.327
1749039093.8755590916,-78.12,0.563,4.153,3.197,-2.41,4.246,2.642,66,0.332
1749039093.9759459496,-78.48,0.575,4.187,3.194,-7.39,4.228,2.620,66,0.334
1749039094.0762879848,-78.84,0.580,4.222,3.188,-12.78,4.206,2.608,66,0.301
1749039094.1766510010,-78.66,0.589,4.257,3.178,-18.11,4.188,2.593,67,0.354
1749039094.2770519257,-78.30,0.601,4.290,3.166,-23.32,4.169,2.578,68,0.358
1749039094.3774259090,-76.50,0.605,4.321,3.151,-28.36,4.166,2.566,67,0.320
1749039094.4778039455,-74.34,0.603,4.351,3.133,-33.52,4.166,2.559,67,0.301
1749039094.5781559944,-72.00,0.602,4.379,3.113,-38.62,4.167,2.550,67,0.318
1749039094.6785221100,-69.30,0.604,4.405,3.090,-43.66,4.170,2.534,67,0.328
1749039094.7788529396,-66.60,0.609,4.427,3.067,-48.36,4.170,2.515,67,0.353
1749039094.8791489601,-63.36,0.609,4.447,3.042,-53.06,4.176,2.497,66,0.308
1749039094.9794950485,-59.76,0.610,4.466,3.015,-57.75,4.184,2.474,67,0.337
1749039095.0798389912,-55.80,0.608,4.483,2.985,-62.34,4.196,2.449,69,0.306
1749039095.1801559925,-51.84,0.607,4.498,2.954,-66.81,4.207,2.421,70,0.327
1749039095.2805020809,-47.34,0.601,4.510,2.922,-71.16,4.223,2.394,71,0.282
1749039095.3808019161,-42.84,0.594,4.519,2.891,-75.34,4.238,2.367,74,0.288
1749039095.4811310768,-37.80,0.588,4.526,2.860,-79.24,4.259,2.337,74,0.279
1749039095.5814719200,-32.58,0.577,4.531,2.831,-82.79,4.284,2.309,75,0.251
1749039095.6819629669,-27.00,0.574,4.534,2.802,-85.77,4.312,2.273,74,0.299
1749039095.7823390961,-21.42,0.571,4.535,2.774,-88.69,4.339,2.238,75,0.277
1749039095.8827168941,-16.02,0.560,4.535,2.748,-90.87,4.372,2.213,76,0.220
1749039095.9830379486,-11.16,0.555,4.534,2.720,-92.59,4.402,2.181,74,0.279
1749039096.0833990574,-6.66,0.543,4.533,2.692,-93.97,4.433,2.158,73,0.201
1749039096.1837220192,-2.16,0.540,4.531,2.666,-95.17,4.462,2.130,73,0.278
1749039096.2840790749,1.62,0.544,4.528,2.640,-96.26,4.484,2.098,72,0.288
1749039096.3843870163,5.22,0.542,4.525,2.617,-97.12,4.507,2.075,71,0.244
1749039096.4846971035,7.92,0.545,4.522,2.591,-97.52,4.526,2.046,71,0.297
1749039096.5850260258,10.80,0.549,4.519,2.564,-97.69,4.549,2.016,71,0.279
